type,number,dialogue,question,choices,answer,source_page
Fill-in-the-Blank,1,,工事,,「こうじ」,1
Fill-in-the-Blank,2,,持って,,「もって」,1
Fill-in-the-Blank,3,,体,,「からだ」,1
Fill-in-the-Blank,4,,入院,,「にゅういん」,1
Fill-in-the-Blank,5,,広い,,「ひろい」,1
Fill-in-the-Blank,6,,考えました,,「かんがえました」,1
Fill-in-the-Blank,7,,親指,,「おやゆび」,1
Fill-in-the-Blank,8,,さむい,,「寒い」,1
Fill-in-the-Blank,9,,あさ,,「朝」,1
Fill-in-the-Blank,10,,せつめい,,「説明」,1
Fill-in-the-Blank,11,,くうこう,,「空港」,1
Fill-in-the-Blank,12,,はしって,,「走って」,1
Fill-in-the-Blank,13,,このレストランには 日本語の  (______)  しかないので、どんな料理かわかりません。,,メニュー,1
Fill-in-the-Blank,14,,テストがあるので、授業で 習った言葉を (______) します。,,ふくしゅう,1
Fill-in-the-Blank,15,,そのまどは われていて あぶないので、  (______)  ください。,,さわらないで,1
Fill-in-the-Blank,16,,わたしとおとうとは 遊んでいるとき  (______) をして、母にしかられました。,,けんか,1
Fill-in-the-Blank,17,,こんばん どこで 食事をするか、 (______) 。,,きめましょう,1
Fill-in-the-Blank,18,,いいと思うか、よくないと思うか、じぶんの意見を  (______)  言ってください。,,はっきり,1
Fill-in-the-Blank,19,,となりの家のいぬは とても 大きいので、ちょっと  (______) です。,,怖い,1
Fill-in-the-Blank,20,,その日は  (______) が悪いので、いけません。,,つごう,1
Fill-in-the-Blank,21,,これは とても だいじな ものです。 ＝これは とても たいせつな ものです。,,,1
Fill-in-the-Blank,22,,そふは よろこんでいました。 ＝ そふは うれしそうです。,,,1
Fill-in-the-Blank,23,,あすのほうが いいです。 ＝あしたのほうが いいです。,,,1
Fill-in-the-Blank,24,,たなかさんに おれいを 言いました。 ＝たなかさんに 「ありがとう」と言いました。,,,1
Fill-in-the-Blank,25,,こしょう ⇒このせんたくきは こしょうしていますから、つかえません。,,,1
Fill-in-the-Blank,26,,"けしき ⇒このまちは 山も海もあって、けしきが きれいです。
2",,,1
Fill-in-the-Blank,27,,そだてる ⇒わたしは にわで いろいろな花を そだてて います。,,,2
Fill-in-the-Blank,28,,ざあざあ ⇒今日は雨がざあざあふっているので、出かけたくないです。,,,2
Grammar/Reading,1,,"「今日から サッカー (______) しませんか。」 
   「すみません。友達を待たせているので、また今度誘ってください」",,を,2
Grammar/Reading,2,,"（ケーキ屋） 
客「すみません。いちごケーキと、チョコレートケーキを２つ (______)  ください」",,ずつ,2
Grammar/Reading,3,,今日 友達と 冬休みの旅行 (______)  そうだんしました。,,について,2
Grammar/Reading,4,,"（会社で） 
森「中村さんを探しているんですが、どこにいる (______) 、わかりますか。」 
石川「すみません。わかりません。」",,か,2
Grammar/Reading,5,,"A「外がうるさいですね。 (______) 音ですか」 
   B「ああ、工事の音ですよ。」",,何の,2
Grammar/Reading,6,,"A「足の怪我は 大丈夫ですか。まだ 痛いですか」 
   B「大丈夫です。 (______)  痛くありません。」",,もう,2
Grammar/Reading,7,,雨が少し降っていましたが、駅から家まで近いので、傘を (______) 、帰りました。,,ささないで,2
Grammar/Reading,8,,姉は赤ちゃんが昼寝を (______) 間に、料理をします。,,している,2
Grammar/Reading,9,,Y ホテルは ペットといっしょに  (______) ができます。,,泊まること,2
Grammar/Reading,10,,"（道で） 
A「急げば次の電車に間に合いそうだよ。走ろうか。」 
B「 (______) も たぶん 間に合わないよ。歩いて 行かない？」",,走って,2
Grammar/Reading,11,,最近 わたしは 仕事が忙しくて、なかなか 友達と  (______) 。,,会えない,2
Grammar/Reading,12,,"（会社で） 
田中「林さんが 来月  (______) そうです。」 
青木「え そうなんですか。」",, 結婚する,2
Grammar/Reading,13,,"（学校で） 
先生「明日から 漢字の授業が 始まるので、漢字の教科書を忘れないようにしてください。」",,,2
Grammar/Reading,14,,"（田中さんの家で） 
 (______)  
田中「えっ！」",,山下「ねえ、田中さんが名前を 聞く のも いやだと言う黒い虫が台所にいましたよ。」,2
Grammar/Reading,15,,今日中 に 返さないといけない 本 があるので、図書館へ行って きます。,,15.今日中 に 返さないといけない 本 があるので、図書館へ行って きます。,2
Grammar/Reading,16,,"妹「ねえ 週末に お花見に 行かない？」 
     姉「いいね 私は 土曜日でも 日曜日でも どっとでも いいけど どっとが いい？」 
3",,,2
Grammar/Reading,17,,"（教室で） 
先生「来週の授業までに、23 ページと24 ページを読んで、わからない言葉があったら 意味を 調べて 
おいて ください。",,,3
Grammar/Reading,18,,二人 (______)  2 年前に国の大学の日本語のクラスで 初めて会いました。,,には,3
Grammar/Reading,19,,二人が 東京に (______) ので。,,来てくれる,3
Grammar/Reading,20,, (______) 、私の好きな食堂や蕎麦屋に ２人を連れて 行きたいです。,,それから,3
Grammar/Reading,21,,冬休みを (______) ,,楽しもうと思います。,3
Grammar/Reading,22,,明日の授業のノートをかしてほしい。,,,3
Grammar/Reading,23,,ギターを買いたいと言っていた息子が、花を買ってきてくれたから。,,,3
Grammar/Reading,24,,山田さんにメールで会議に行く5 人の名前を知らせます。,,,3
Grammar/Reading,25,,一人でも 秋の京都に行きたい。,,,3
Grammar/Reading,26,,「私」が行ったお寺は 朝早くから開いていて、朝はすいていること。,,,3
Grammar/Reading,27,,行きたかったお寺に行って、秋の庭をゆっくり楽しめたから。,,,3
Grammar/Reading,28,,2 B とC,,,3
Grammar/Reading,29,,4 D だけ,,,3
