type,number,dialogue,question,choices,answer,source_page
Vocabulary in Context,13,,このレストランには 日本語の (______) しかないので、どんな料理かわかりません。,,メニュー,1
Vocabulary in Context,14,,テストがあるので、授業で 習った言葉を(______)。,,ふくしゅうします,1
Vocabulary in Context,15,,そのまどは われていて (______)ので、 さわらないで ください。,,あぶないので,1
Vocabulary in Context,16,,わたしとおとうとは 遊んでいるとき (______)、母にしかられました。,,けんかをして,1
Vocabulary in Context,17,,こんばん どこで 食事をするか、(______)。,,きめましょう,1
Vocabulary in Context,18,,いいと思うか、よくないと思うか、じぶんの意見を (______) 言ってください。,,はっきり,1
Vocabulary in Context,19,,となりの家のいぬは とても 大きいので、ちょっと (______)。,,怖いです,1
Vocabulary in Context,20,,その日は (______)ので、いけません。,,つごうが悪い,1
Synonym Identification,21,,これは とても だいじな ものです。,,これは とても たいせつな ものです。,1
Synonym Identification,22,,そふは よろこんでいました。,,そふは うれしそうです。,1
Synonym Identification,23,,あすのほうが いいです。,,あしたのほうが いいです。,1
Synonym Identification,24,,たなかさんに おれいを 言いました。,,たなかさんに 「ありがとう」と言いました。,1
Word Usage,25,,こしょう,,このせんたくきは こしょうしていますから、つかえません。,1
Word Usage,26,,けしき,,このまちは 山も海もあって、けしきが きれいです。,1
